,Area,BHK,Bathroom,Locality,Price,Price_per_sqft
986,1500.0,3,3.0,other,15000000,10000.0
987,1050.0,2,2.0,other,10000000,9523.809523809523
988,1350.0,3,3.0,other,11000000,8148.148148148148
989,1500.0,2,2.0,"Godrej South Estate, Okhla",24700000,16466.666666666668
990,976.0,2,2.0,"Godrej South Estate, Okhla",24900000,25512.29508196721
991,540.0,2,1.0,"Abul Fazal Enclave Part 1, Okhla",3600000,6666.666666666667
992,450.0,1,1.0,"Batla House, Okhla",1700000,3777.777777777778
993,900.0,2,2.0,"Sukhdev Vihar, Okhla",11000000,12222.222222222223
994,2500.0,4,4.0,"Sukhdev Vihar, Okhla",75000000,30000.0
995,979.5149,2,2.0,"Godrej South Estate, Okhla Phase 1",24800000,25318.655183295323
996,945.0,2,2.0,"Godrej South Estate, Okhla Phase 1",24900000,26349.20634920635
997,976.0,2,2.0,"Godrej South Estate, Okhla Phase 1",24900000,25512.29508196721
998,1531.0,2,2.0,"Godrej South Estate, Okhla",25900000,16917.047681254084
999,1000.0,2,2.0,"Sukhdev Vihar, Okhla",11700000,11700.0
1000,750.0,3,2.0,"Sukhdev Vihar, Okhla",13500000,18000.0
1001,900.0,3,2.0,"Abul Fazal Enclave Part-II, Okhla",5500000,6111.111111111111
1002,1512.0,2,2.0,"Godrej South Estate, Okhla",30000000,19841.26984126984
1003,35.0,3,2.0,"Abul Fazal Enclave Part 1, Okhla",4950000,141428.57142857142
1004,1500.0,3,2.0,"Sukhdev Vihar, Okhla",16000000,10666.666666666666
1005,2907.0,4,4.0,"Sukhdev Vihar, Okhla",30000000,10319.917440660474
1006,2210.0,4,3.0,"Sukhdev Vihar, Okhla",41000000,18552.036199095022
1007,750.0,2,2.0,"Abul Fazal Enclave Part-II, Okhla",3800000,5066.666666666667
1008,2518.7526,4,5.0,"Godrej South Estate, Okhla Phase 1",68900000,27354.810472453708
1009,588.0,2,2.0,other,1800000,3061.2244897959185
1010,540.0,2,1.0,other,1500000,2777.777777777778
1011,1100.0,3,3.0,"Sukhdev Vihar, Okhla",12500000,11363.636363636364
1012,550.0,2,1.0,"Batla House, Okhla",1600000,2909.090909090909
1013,750.0,3,2.0,other,2400000,3200.0
1014,1260.0,3,2.0,"Abul Fazal Enclave Part 1, Okhla",7000000,5555.555555555556
1015,675.0,2,2.0,"Abul Fazal Enclave Part-II, Okhla",3100000,4592.592592592592
1016,810.0,2,2.0,"Sukhdev Vihar, Okhla",14500000,17901.234567901236
1017,3150.0,4,5.0,"Sukhdev Vihar, Okhla",61500000,19523.809523809523
1018,2000.0,4,4.0,"Sukhdev Vihar, Okhla",27500000,13750.0
1019,1775.0,3,3.0,"The Amaryllis, Karol Bagh",25500000,14366.197183098591
1020,1135.0,3,3.0,"The Amaryllis, Karol Bagh",25000000,22026.431718061674
1021,1252.0,2,2.0,"The Amaryllis, Karol Bagh",18500000,14776.357827476038
1022,2000.0,4,4.0,"The Amaryllis, Karol Bagh",39700000,19850.0
1023,530.0,4,1.0,"Dev Nagar, Karol Bagh",6800000,12830.188679245282
1024,1332.0,3,2.0,other,6540000,4909.90990990991
1025,1017.0,3,3.0,"The Amaryllis, Karol Bagh",22000000,21632.251720747296
1026,1775.0,3,3.0,"The Amaryllis, Karol Bagh",25500000,14366.197183098591
1027,987.0,2,2.0,"The Amaryllis, Karol Bagh",17000000,17223.910840932116
1028,1912.0,3,3.0,"The Amaryllis, Karol Bagh",27500000,14382.845188284518
1029,5236.0,5,7.0,"The Amaryllis, Karol Bagh",73700000,14075.63025210084
1030,2805.0,4,4.0,"The Amaryllis, Karol Bagh",52300000,18645.276292335115
1031,1500.0,3,3.0,other,16000000,10666.666666666666
1032,1280.0,3,3.0,Karol Bagh,15000000,11718.75
1033,1775.0,3,3.0,"The Amaryllis, Karol Bagh",25500000,14366.197183098591
1034,675.0,2,2.0,Karol Bagh,10000000,14814.814814814816
1035,576.0,2,2.0,other,5000000,8680.555555555555
1036,1206.0,3,3.0,Karol Bagh,20000000,16583.74792703151
1037,1143.0,2,2.0,other,16000000,13998.25021872266
1038,345.0,1,1.0,Karol Bagh,5500000,15942.028985507246
1039,720.0,2,1.0,"Dev Nagar, Karol Bagh",7000000,9722.222222222223
1040,468.0,2,2.0,Karol Bagh,4100000,8760.68376068376
1041,1600.0,3,3.0,other,24000000,15000.0
1042,950.0,2,2.0,other,12500000,13157.894736842105
